"","uid_max","visitor_access_level","total_days","other.web.sites","search.engines","social.networks","typed_bookmarked","Purchase.IDs","product","last_touch_referrer"
"2629","6064431885941002676_322962535712889277","anonymous",2,1,1,0,1,"D6056591","Digital Only - Annual","other web sites"
"2630","606830","reg",2,1,1,0,1,"D6284284","Digital Only - Monthly","typed/bookmarked"
"2631","607184","anonymous",1,0,0,0,1,"D6031520","Premium (Digital + Print)","typed/bookmarked"
"2632","6072553679136743956_7971835914032544620","anonymous",1,0,1,0,0,"D6176479","Digital Only - Monthly","search engines"
"2633","6076022661984762294_4680203656603661875","anonymous",1,0,1,0,0,"D6090359","Premium (Digital + Print)","search engines"
"2634","6080458429203992218_4053957034525529921","anonymous",1,0,1,0,1,"D6043577","Premium (Digital + Print)","typed/bookmarked"
"2635","608476","reg",1,1,1,0,1,"D6057095","Premium (Digital + Print)","other web sites"
"2636","60875","subscribed",6,4,0,0,6,"D6227606","Digital Only - Annual","typed/bookmarked"
"2637","612131338761094237_3004940779124095587","anonymous",1,0,0,0,1,"D6295159","Digital Only - Annual","typed/bookmarked"
"2638","612654","reg",21,5,6,0,17,"D6273913","Digital Only - Annual","typed/bookmarked"
"2639","6127897886464169834_5112473009275679217","anonymous",1,1,1,0,0,"D6043415","Premium (Digital + Print)","other web sites"
"2640","6129705127704578359_5216798296467506363","anonymous",1,0,0,0,1,"D6269514","Premium (Digital + Print)","typed/bookmarked"
"2641","6130722075731825952_3412212438517750878","anonymous",1,1,0,0,0,"D6216209","Digital Only - Monthly","other web sites"
"2642","613196","reg",1,0,0,0,1,"D6224820","Digital Only - Monthly","typed/bookmarked"
"2643","613289","anonymous",1,0,1,0,0,"D6295055","Digital Only - Annual","search engines"
"2644","6135234094934918346_2429371755709486027","anonymous",1,0,0,0,1,"D6042177","Digital Only - Monthly","typed/bookmarked"
"2645","6142730165159765541_3431936589568140204","anonymous",1,1,0,0,0,"D6258477","Digital Only - Annual","other web sites"
"2646","614558625275934583_7757970806963473236","anonymous",1,0,1,0,0,"D6249627","Premium (Digital + Print)","search engines"
"2647","614843","anonymous",1,0,0,0,1,"D6108874","Digital Only - Annual","typed/bookmarked"
"2648","6150374899024640924_2440663055462388713","anonymous",1,1,0,0,0,"D5925520","Digital Only - Monthly","other web sites"
"2649","615212","reg",1,1,0,0,0,"D6078588","Digital Only - Monthly","other web sites"
"2650","6155258478541953766_8274785341949294291","anonymous",1,0,0,0,1,"D5924440","Premium (Digital + Print)","typed/bookmarked"
"2651","615868","anonymous",1,0,1,0,0,"D6103378","Digital Only - Monthly","search engines"
"2652","6159076694742183393_6902964966141671285","anonymous",1,1,1,0,1,"D6271004","Digital Only - Monthly","other web sites"
"2653","616172","reg",1,0,0,1,0,"D6174670","Digital Only - Monthly","social networks"
"2654","6166578886153470689_4580309307210895732","anonymous",1,0,1,0,0,"D6026478","Digital Only - Annual","search engines"
"2655","6166919055624119169_479271968199145066","anonymous",3,1,0,0,2,"D6027544","Premium (Digital + Print)","other web sites"
"2656","617446","subscribed",17,0,0,0,56,"D6029783","Digital Only - Annual","typed/bookmarked"
"2657","6174508766055561499_1176767168273578727","anonymous",1,0,1,0,0,"D6003769","Premium (Digital + Print)","search engines"
"2658","6176534205138357881_2658938837789422670","anonymous",1,0,0,0,1,"D6074797","Digital Only - Monthly","typed/bookmarked"
"2659","6178195808631407182_2101612553735400391","anonymous",1,0,0,0,1,"D6014598","All Access","typed/bookmarked"
"2660","6178528861442681998_3492945591977455421","anonymous",1,0,1,0,0,"D5936607","Premium (Digital + Print)","search engines"
"2661","618011","subscribed",17,0,4,0,17,"D6183476","Digital Only - Annual","typed/bookmarked"
"2662","6181113567149236767_665681024270700516","anonymous",1,0,1,0,0,"D6027616","Digital Only - Monthly","search engines"
"2663","6182711636159339790_2570266433996180238","anonymous",1,0,1,0,0,"D5924132","Digital Only - Annual","search engines"
"2664","6188799188350372332_6006207545417413218","anonymous",2,0,2,0,0,"D6108422","Digital Only - Annual","search engines"
"2665","618909","subscribed",1,0,0,0,1,"D5922741","Premium (Digital + Print)","typed/bookmarked"
"2666","6189371567926795618_7958438819642524667","anonymous",2,0,1,0,1,"D6043250","Digital Only - Annual","typed/bookmarked"
"2667","619011","subscribed",1,0,0,0,3,"D5924456","Digital Only - Annual","typed/bookmarked"
"2668","619268","subscribed",14,4,3,0,20,"D6088611","Digital Only - Annual","typed/bookmarked"
"2669","620933","reg",2,0,0,0,2,"D6225248","Digital Only - Annual","typed/bookmarked"
"2670","621034","subscribed",1,0,1,0,0,"D6265097","Digital Only - Annual","search engines"
"2671","621477","subscribed",4,0,2,0,3,"D5949214","Premium (Digital + Print)","search engines"
"2672","6221175929698845933_4112051719373446256","anonymous",1,1,0,0,0,"D6225088","Digital Only - Annual","other web sites"
"2673","622492","subscribed",7,3,2,0,2,"D6075000","Digital Only - Monthly","typed/bookmarked"
"2674","6225688928111480663_784331950783976172","anonymous",3,0,0,0,5,"D6224177","Digital Only - Annual","typed/bookmarked"
"2675","6228097251725888518_74671339887471687","anonymous",1,0,0,0,1,"D6043928","Digital Only - Annual","typed/bookmarked"
"2676","623725","subscribed",3,2,2,3,1,"D6174617","Premium (Digital + Print)","search engines"
"2677","623931","reg",1,0,1,0,0,"D6001147","All Access","search engines"
"2678","623992","reg",2,0,0,0,2,"D6079226","Digital Only - Annual","typed/bookmarked"
"2679","6241239719609925234_1639681728675060039","anonymous",1,0,0,0,1,"D6298215","Premium (Digital + Print)","typed/bookmarked"
"2680","6242245544045161277_1996705923326877164","anonymous",5,1,6,0,0,"D6046080","Digital Only - Monthly","search engines"
"2681","624396","subscribed",1,0,1,0,0,"D6265019","Digital Only - Annual","search engines"
"2682","6244072835627521361_3414163787775939688","anonymous",5,0,1,0,4,"D6271335","Premium (Digital + Print)","typed/bookmarked"
"2683","6246091262890196220_2298631296234535230","anonymous",1,0,1,0,0,"D6079049","Digital Only - Monthly","search engines"
"2684","625121","reg",2,1,1,0,0,"D6003211","Digital Only - Monthly","search engines"
"2685","6260110367983470215_1144953635435857579","anonymous",2,0,2,0,0,"D6264157","All Access","search engines"
